description,class
"وصل الطلب بسرعة والتغليف ممتاز.","توصيل"
"تأخر الشحن لأكثر من أسبوع بدون تحديث.","توصيل"
"شركة الشحن اتصلت قبل الوصول وكان التعامل محترم.","توصيل"
"المنتج وصل مكسورًا بسبب سوء التغليف.","توصيل"
"التطبيق يتعطل عند فتح صفحة الدفع.","مشكلة_تقنية"
"لا أستطيع تسجيل الدخول رغم صحة كلمة المرور.","مشكلة_تقنية"
"التحديث الأخير تسبب في بطء شديد.","مشكلة_تقنية"
"الواجهة لا تظهر بشكل صحيح على هاتفي.","مشكلة_تقنية"
"الخامة ممتازة وتفاصيل التصنيع واضحة.","جودة_المنتج"
"الجودة أقل من المتوقع مقارنة بالسعر.","جودة_المنتج"
"المنتج يبدو رخيصًا ويتلف بسرعة.","جودة_المنتج"
"المقاس مناسب جدًا والخياطة ممتازة.","جودة_المنتج"
"السعر مرتفع مقارنة بمنتجات مشابهة.","سعر"
"العروض والخصومات ممتازة.","سعر"
"القيمة مقابل المال جيدة جدًا.","سعر"
"السعر مناسب لكن رسوم الشحن عالية.","سعر"
"خدمة العملاء ردت بسرعة وحلت المشكلة.","خدمة_العملاء"
"لم يتم الرد على مكالماتي نهائيًا.","خدمة_العملاء"
"الموظف كان غير محترم أثناء التواصل.","خدمة_العملاء"
"تم حل الشكوى لكن بعد وقت طويل.","خدمة_العملاء"
"أحببت التصميم والألوان متناسقة.","تصميم"
"التصميم جميل لكن الأزرار غير مريحة.","تصميم"
"الشكل الخارجي لا يشبه الصور في الموقع.","تصميم"
"التصميم عملي ومناسب للاستخدام اليومي.","تصميم"
"البطارية تدوم طوال اليوم بدون مشاكل.","أداء"
"الأداء بطيء ويتأخر في الاستجابة.","أداء"
"الصوت قوي وواضح حتى على أعلى مستوى.","أداء"
"الجهاز يسخن بسرعة أثناء الاستخدام.","أداء"
"المنتج سهل الاستخدام ولا يحتاج شرح.","سهولة_الاستخدام"
"التعليمات غير واضحة وأربكتني.","سهولة_الاستخدام"
"إعدادات التطبيق معقدة جدًا.","سهولة_الاستخدام"
"التجربة بسيطة ومريحة للمستخدم.","سهولة_الاستخدام"
"الدفع كان سريعًا وآمنًا بدون أخطاء.","دفع"
"فشلت عملية الدفع أكثر من مرة.","دفع"
"لم تصلني رسالة تأكيد بعد الدفع.","دفع"
"تم سحب المبلغ مرتين بالخطأ.","دفع"
"سياسة الإرجاع واضحة وسهلة التنفيذ.","إرجاع_واسترجاع"
"رفضوا إرجاع المنتج رغم أنه غير مطابق.","إرجاع_واسترجاع"
"استرجاع المبلغ أخذ وقتًا طويلًا.","إرجاع_واسترجاع"
"تمت عملية الاستبدال بسرعة.","إرجاع_واسترجاع"
"المقاس صغير جدًا مقارنة بالجدول.","مقاسات"
"المقاس مطابق تمامًا لما طلبت.","مقاسات"
"الطول مناسب لكن العرض ضيق.","مقاسات"
"مقاسات الموقع غير دقيقة.","مقاسات"
"النكهة لذيذة جدًا والطعم ممتاز.","طعام_ونكهة"
"المنتج مالح أكثر من اللازم.","طعام_ونكهة"
"الرائحة غير جيدة عند فتح العبوة.","طعام_ونكهة"
"الطعم عادي ولا يستحق الشراء.","طعام_ونكهة"
"اللون جميل ويطابق الصور.","لون_ومظهر"
"اللون مختلف عن المعروض في الموقع.","لون_ومظهر"
"اللمعة قوية أكثر من المتوقع.","لون_ومظهر"
"المظهر النهائي أنيق جدًا.","لون_ومظهر"
"الحجم أصغر مما توقعت.","حجم"
"الحجم مناسب ويكفي للاستخدام اليومي.","حجم"
"المنتج كبير ويأخذ مساحة.","حجم"
"السعة ممتازة مقارنة بالسعر.","حجم"
"الإعلان كان مضلل والميزات غير موجودة.","محتوى_مضلل"
"الوصف في الصفحة غير دقيق.","محتوى_مضلل"
"الصور مبالغ فيها والواقع مختلف.","محتوى_مضلل"
"المعلومات المقدمة كانت صحيحة وواضحة.","محتوى_مضلل"
"التجربة بشكل عام ممتازة وسأكرر الشراء.","تجربة_عامة"
"التجربة كانت سيئة ولن أشتري مرة أخرى.","تجربة_عامة"
"تجربة متوسطة وفيها إيجابيات وسلبيات.","تجربة_عامة"
"كل شيء كان سلسًا من البداية للنهاية.","تجربة_عامة"
"المنتج نفد بسرعة ولا يتوفر دائمًا.","توفر_المنتج"
"التوفر ممتاز ويوجد خيارات كثيرة.","توفر_المنتج"
"لم أجد اللون الذي أريده متاحًا.","توفر_المنتج"
"المنتج متوفر لكن التسليم محدود لبعض المدن.","توفر_المنتج"
"الإشعارات مزعجة وتظهر كثيرًا.","واجهة_وتجربة_تطبيق"
"واجهة التطبيق جميلة ومنظمة.","واجهة_وتجربة_تطبيق"
"البحث داخل التطبيق غير دقيق.","واجهة_وتجربة_تطبيق"
"التصفح سريع والتنقل سهل.","واجهة_وتجربة_تطبيق"
"التغليف أنيق ويحافظ على المنتج.","تغليف"
"التغليف ضعيف وغير مناسب للمنتج.","تغليف"
"التغليف ممتاز لكن يوجد رائحة كرتون قوية.","تغليف"
"وصل المنتج بدون أي حماية إضافية.","تغليف"
"الضمان واضح وخدمة الصيانة متوفرة.","ضمان_وصيانة"
"لم أستفد من الضمان بسبب شروط معقدة.","ضمان_وصيانة"
"الصيانة تأخرت كثيرًا.","ضمان_وصيانة"
"تم إصلاح المشكلة خلال يومين فقط.","ضمان_وصيانة"
