description,class
وصل الطلب بسرعة والتغليف ممتاز.,توصيل
تأخر الشحن لأكثر أسبوع بدون تحديث.,توصيل
شركة الشحن اتصلت الوصول التعامل محترم.,توصيل
المنتج وصل مكسورًا سوء التغليف.,توصيل
التطبيق يتعطل فتح صفحة الدفع.,مشكلة_تقنية
أستطيع تسجيل الدخول رغم صحة كلمة المرور.,مشكلة_تقنية
التحديث الأخير تسبب بطء شديد.,مشكلة_تقنية
الواجهة تظهر صحيح هاتفي.,مشكلة_تقنية
الخامة ممتازة وتفاصيل التصنيع واضحة.,جودة_المنتج
الجودة أقل المتوقع مقارنة بالسعر.,جودة_المنتج
المنتج يبدو رخيصًا ويتلف بسرعة.,جودة_المنتج
المقاس مناسب جدًا والخياطة ممتازة.,جودة_المنتج
السعر مرتفع مقارنة بمنتجات مشابهة.,سعر
العروض والخصومات ممتازة.,سعر
القيمة المال جيدة جدًا.,سعر
السعر مناسب رسوم الشحن عالية.,سعر
خدمة العملاء ردت بسرعة وحلت المشكلة.,خدمة_العملاء
يتم الرد مكالماتي نهائيًا.,خدمة_العملاء
الموظف محترم أثناء التواصل.,خدمة_العملاء
حل الشكوى وقت طويل.,خدمة_العملاء
أحببت التصميم والألوان متناسقة.,تصميم
التصميم جميل الأزرار مريحة.,تصميم
الشكل الخارجي يشبه الصور الموقع.,تصميم
التصميم عملي ومناسب للاستخدام اليومي.,تصميم
البطارية تدوم طوال بدون مشاكل.,أداء
الأداء بطيء ويتأخر الاستجابة.,أداء
الصوت قوي وواضح أعلى مستوى.,أداء
الجهاز يسخن بسرعة أثناء الاستخدام.,أداء
المنتج سهل الاستخدام يحتاج شرح.,سهولة_الاستخدام
التعليمات واضحة وأربكتني.,سهولة_الاستخدام
إعدادات التطبيق معقدة جدًا.,سهولة_الاستخدام
التجربة بسيطة ومريحة للمستخدم.,سهولة_الاستخدام
الدفع سريعًا وآمنًا بدون أخطاء.,دفع
فشلت عملية الدفع مرة.,دفع
تصلني رسالة تأكيد الدفع.,دفع
سحب المبلغ مرتين بالخطأ.,دفع
سياسة الإرجاع واضحة وسهلة التنفيذ.,إرجاع_واسترجاع
رفضوا إرجاع المنتج رغم مطابق.,إرجاع_واسترجاع
استرجاع المبلغ وقتًا طويلًا.,إرجاع_واسترجاع
تمت عملية الاستبدال بسرعة.,إرجاع_واسترجاع
المقاس صغير جدًا مقارنة بالجدول.,مقاسات
المقاس مطابق تمامًا طلبت.,مقاسات
الطول مناسب العرض ضيق.,مقاسات
مقاسات الموقع دقيقة.,مقاسات
النكهة لذيذة جدًا والطعم ممتاز.,طعام_ونكهة
المنتج مالح اللازم.,طعام_ونكهة
الرائحة جيدة فتح العبوة.,طعام_ونكهة
الطعم عادي يستحق الشراء.,طعام_ونكهة
اللون جميل ويطابق الصور.,لون_ومظهر
اللون مختلف المعروض الموقع.,لون_ومظهر
اللمعة قوية المتوقع.,لون_ومظهر
المظهر النهائي أنيق جدًا.,لون_ومظهر
الحجم أصغر توقعت.,حجم
الحجم مناسب ويكفي للاستخدام اليومي.,حجم
المنتج كبير ويأخذ مساحة.,حجم
السعة ممتازة مقارنة بالسعر.,حجم
الإعلان مضلل والميزات موجودة.,محتوى_مضلل
الوصف الصفحة دقيق.,محتوى_مضلل
الصور مبالغ والواقع مختلف.,محتوى_مضلل
المعلومات المقدمة صحيحة وواضحة.,محتوى_مضلل
التجربة ممتازة وسأكرر الشراء.,تجربة_عامة
التجربة سيئة أشتري أخرى.,تجربة_عامة
تجربة متوسطة وفيها إيجابيات وسلبيات.,تجربة_عامة
شيء سلسًا البداية للنهاية.,تجربة_عامة
المنتج نفد بسرعة يتوفر دائمًا.,توفر_المنتج
التوفر ممتاز ويوجد خيارات كثيرة.,توفر_المنتج
أجد اللون أريده متاحًا.,توفر_المنتج
المنتج متوفر التسليم محدود لبعض المدن.,توفر_المنتج
الإشعارات مزعجة وتظهر كثيرًا.,واجهة_وتجربة_تطبيق
واجهة التطبيق جميلة ومنظمة.,واجهة_وتجربة_تطبيق
البحث داخل التطبيق دقيق.,واجهة_وتجربة_تطبيق
التصفح سريع والتنقل سهل.,واجهة_وتجربة_تطبيق
التغليف أنيق ويحافظ المنتج.,تغليف
التغليف ضعيف وغير مناسب للمنتج.,تغليف
التغليف ممتاز يوجد رائحة كرتون قوية.,تغليف
وصل المنتج بدون حماية إضافية.,تغليف
الضمان واضح وخدمة الصيانة متوفرة.,ضمان_وصيانة
أستفد الضمان شروط معقدة.,ضمان_وصيانة
الصيانة تأخرت كثيرًا.,ضمان_وصيانة
إصلاح المشكلة يومين فقط.,ضمان_وصيانة
